,Air Temperature,Humidity,Wind Speed,Rain Intensity,Barometric Pressure,Solar Radiation,Wet Bulb Temperature,Battery Life,Total Rain,Wind Direction
Air Temperature,1.0,-0.01892163284607835,-0.22589069069093656,0.01215349283745334,-0.2540164336725012,0.15902223733567158,0.9799043605796566,0.15922191062501626,0.41578222940351073,-0.17522376425914657
Humidity,-0.01892163284607835,1.0,0.07845987239276361,0.10386023299183626,-0.1855504148606698,-0.09048725567755317,0.1704792869919302,-0.11231051446794767,0.12015542894540289,-0.28846014033418793
Wind Speed,-0.22589069069093656,0.07845987239276361,1.0,0.03741117319126287,-0.02130009355070586,0.050321243495036354,-0.21231244924751885,-0.19919188409493374,-0.028183753632586003,-0.0524374058550403
Rain Intensity,0.01215349283745334,0.10386023299183626,0.03741117319126287,1.0,-0.055864627985186335,-0.02608174702862467,0.03128432340905267,-0.002722046988809779,0.024221320784281013,0.003282806568221481
Barometric Pressure,-0.2540164336725012,-0.1855504148606698,-0.02130009355070586,-0.055864627985186335,1.0,0.034626906812127684,-0.27477814634106645,-0.04587550777659308,-0.016476372853682957,-0.09663786194590435
Solar Radiation,0.15902223733567158,-0.09048725567755317,0.050321243495036354,-0.02608174702862467,0.034626906812127684,1.0,0.13802244152540563,0.042166510542949294,0.04761043029665056,-0.09309735406716027
Wet Bulb Temperature,0.9799043605796566,0.1704792869919302,-0.21231244924751885,0.03128432340905267,-0.27477814634106645,0.13802244152540563,1.0,0.13519381887331633,0.4408305252525043,-0.22501637003037503
Battery Life,0.15922191062501626,-0.11231051446794767,-0.19919188409493374,-0.002722046988809779,-0.04587550777659308,0.042166510542949294,0.13519381887331633,1.0,-0.0673476519651109,-0.06506841040618969
Total Rain,0.41578222940351073,0.12015542894540289,-0.028183753632586003,0.024221320784281013,-0.016476372853682957,0.04761043029665056,0.4408305252525043,-0.0673476519651109,1.0,-0.026224515564525392
Wind Direction,-0.17522376425914657,-0.28846014033418793,-0.0524374058550403,0.003282806568221481,-0.09663786194590435,-0.09309735406716027,-0.22501637003037503,-0.06506841040618969,-0.026224515564525392,1.0
